,id,rule_name,description,magnitude,historical,closeUser,formattedClosedDate,closedWithCustomizedReason,localizedCloseReason,usernameOrderBy,deviceOrderBy,domainInfo,offenseMapper,offenseMapperType,archived,offenseSource,escapedFormattedOffenseSource,formattedOffenseType,description.1,fullDescription,credibility,credibilityFormatted,severity,severityFormatted,relevance,relevanceFormatted,categoryCount,targetCount,attackerCount,eventCount,formattedEventCount,flowCount,formattedFlowCount,eventDescription,startTime,endTime,attacker,attackerDescription,target,targetDescription,tokensAsString,deviceCount,userCount,attackerId,formattedStartTime,formattedEndTime,formattedLastEventTime,formattedDuration,assignedToUser,username,dismissedCode,allNotes,targetNetwork,startTimeAbs,endTimeAbs,targetNetworkDescription,attackerNetwork,attackerIP,remoteTargetCount,localTargetCount,targetNetworkCount,domainName
195,263425,Host Port Scan Detected by Remote Host,"Firewall Deny
",2,FALSE,jcifuentes,"Nov 1, 2022, 7:51:30 AM",FALSE,"False-Positive, Tuned",,GRC_FT_FW_MERCANET,domain 11,0,BY_ATTACKER,0,11:1541043088,91.218.115.144,Source IP,Firewall Deny ,Firewall Deny ,2,2,4,4,0,0,1,16,1,11948,"11,948",0,0,"11,948 events and 0 flows in 1 categories",Sat Oct 15 16:10:10 COT 2022,Sun Oct 16 04:47:40 COT 2022,91.218.115.144,91.218.115.144,200.14.43.247,Local (16) ,1|2075163|2075161|2075097|2075224|2075159|2075094|2075157|2075154|2075217|2075142|2075206|2075267|2075139|2075136|2075196|2075128|2075255|2075126|2075188|2075252|2075187|2075251|2075249|2075116|2075115|2075177|2075108|2075106|2075169|2075105|2075232,1,0,1250999,"Oct 15, 2022, 4:10:10 PM","Oct 16, 2022, 4:47:40 AM",19d 3h 56m 51s,12h 37m 29s,FALSE,,2,"""This offense was closed with reason: False-Positive, Tuned.  Notes: Se cierran ofensas posterior a la realización del informe jcifuentes Nov 1, 2022, 7:51:30 AM""",GR_CHIA.Publicas_Mercanet,166587000000000000    ,166591000000000000    ,GR_CHIA.Publicas_Mercanet,other,91.218.115.144,0,16,1,GR CHIA SAS
196,263426,Host Port Scan Detected by Remote Host,"Firewall Deny
",2,FALSE,jcifuentes,"Nov 1, 2022, 7:51:30 AM",FALSE,"False-Positive, Tuned",,,domain 11,0,BY_ATTACKER,0,11:-1256187122,181.32.27.14,Source IP,Firewall Deny ,Firewall Deny ,2,2,4,4,0,0,1,2,1,4561,"4,561",0,0,"4,561 events and 0 flows in 1 categories",Sat Oct 15 16:33:06 COT 2022,Tue Oct 18 14:58:40 COT 2022,181.32.27.14,181.32.27.14,200.14.43.240,200.14.43.240 190.60.74.241 ,1|2082443|2082459|2075125|2077491|2076402|2077218|2078944,2,0,1251019,"Oct 15, 2022, 4:33:06 PM","Oct 18, 2022, 2:58:40 PM",16d 17h 45m 51s,2d 22h 25m 34s,FALSE,,2,"""This offense was closed with reason: False-Positive, Tuned.  Notes: Se cierran ofensas posterior a la realización del informe jcifuentes Nov 1, 2022, 7:51:30 AM""",GR_CHIA.Publicas_Mercanet,166587000000000000    ,166612000000000000    ,Multiple (2),other,181.32.27.14,1,1,2,GR CHIA SAS
197,263468,"GR Chia: X-Force Risk IP, Spam(Destination IP)","Firewall Permit
 preceded by Ip-conn
",1,FALSE,jcifuentes,"Nov 1, 2022, 7:51:30 AM",FALSE,"False-Positive, Tuned",,,domain 11,1,BY_TARGET,0,11:-1972021846,138.117.85.170,Destination IP,Firewall Permit  preceded by Ip-conn ,Firewall Permit  preceded by Ip-conn ,2,2,2,2,0,0,2,1,1,6,6,0,0,6 events and 0 flows in 2 categories,Sat Oct 15 21:33:41 COT 2022,Sun Oct 16 01:56:09 COT 2022,10.10.51.212,10.10.51.212,138.117.85.170,138.117.85.170 ,1,2,0,650146,"Oct 15, 2022, 9:33:41 PM","Oct 16, 2022, 1:56:09 AM",19d 6h 48m 22s,4h 22m 28s,FALSE,,2,"""This offense was closed with reason: False-Positive, Tuned.  Notes: Se cierran ofensas posterior a la realización del informe jcifuentes Nov 1, 2022, 7:51:30 AM""",other,166589000000000000    ,16659000000000000    ,other,GR_CHIA.FW_IFX,10.10.51.212,1,0,1,GR CHIA SAS
198,263485,Host Port Scan Detected by Remote Host,"Firewall Deny
",2,FALSE,jcifuentes,"Nov 1, 2022, 7:51:30 AM",FALSE,"False-Positive, Tuned",,GRC_FT_FW_IFX,domain 11,0,BY_ATTACKER,0,11:1754805257,104.152.52.9,Source IP,Firewall Deny ,Firewall Deny ,2,2,4,4,0,0,1,1,1,45,45,0,0,45 events and 0 flows in 1 categories,Sat Oct 15 23:51:49 COT 2022,Sat Oct 15 23:51:51 COT 2022,104.152.52.9,104.152.52.9,190.60.74.241,190.60.74.241 ,1|2075891,1,0,1251721,"Oct 15, 2022, 11:51:49 PM","Oct 15, 2022, 11:51:51 PM",19d 8h 52m 40s,2s,FALSE,,2,"""This offense was closed with reason: False-Positive, Tuned.  Notes: Se cierran ofensas posterior a la realización del informe jcifuentes Nov 1, 2022, 7:51:30 AM""",other,16659000000000000    ,16659000000000000    ,other,other,104.152.52.9,1,0,1,GR CHIA SAS
199,263486,Host Port Scan Detected by Remote Host,"Firewall Deny
",2,FALSE,jcifuentes,"Nov 1, 2022, 7:51:30 AM",FALSE,"False-Positive, Tuned",,,domain 11,0,BY_ATTACKER,0,11:-1202072012,184.89.214.52,Source IP,Firewall Deny ,Firewall Deny ,2,2,4,4,0,0,1,3,1,395,395,0,0,395 events and 0 flows in 1 categories,Sun Oct 16 00:28:04 COT 2022,Sun Oct 16 20:40:52 COT 2022,184.89.214.52,184.89.214.52,200.14.43.240,200.14.43.240 Remote (2) ,1|2078131|2075939,2,0,1251781,"Oct 16, 2022, 12:28:04 AM","Oct 16, 2022, 8:40:52 PM",18d 12h 3m 39s,20h 12m 47s,FALSE,,2,"""This offense was closed with reason: False-Positive, Tuned.  Notes: Se cierran ofensas posterior a la realización del informe jcifuentes Nov 1, 2022, 7:51:30 AM""",GR_CHIA.Publicas_Mercanet,16659000000000000    ,166597000000000000    ,Multiple (2),other,184.89.214.52,2,1,2,GR CHIA SAS
200,263496,Host Port Scan Detected by Remote Host,"Firewall Deny
",2,FALSE,jcifuentes,"Nov 1, 2022, 7:51:30 AM",FALSE,"False-Positive, Tuned",,GRC_FT_FW_IFX,domain 11,0,BY_ATTACKER,0,11:1754805262,104.152.52.14,Source IP,Firewall Deny ,Firewall Deny ,2,2,4,4,0,0,1,1,1,56,56,0,0,56 events and 0 flows in 1 categories,Sun Oct 16 01:15:22 COT 2022,Sun Oct 16 01:15:25 COT 2022,104.152.52.14,104.152.52.14,190.60.74.241,190.60.74.241 ,1|2076014,1,0,1066529,"Oct 16, 2022, 1:15:22 AM","Oct 16, 2022, 1:15:25 AM",19d 7h 29m 6s,3s,FALSE,,2,"""This offense was closed with reason: False-Positive, Tuned.  Notes: Se cierran ofensas posterior a la realización del informe jcifuentes Nov 1, 2022, 7:51:30 AM""",other,16659000000000000    ,16659000000000000    ,other,other,104.152.52.14,1,0,1,GR CHIA SAS
201,263660,"GR Chia: X-Force Risk IP, Spam(Destination IP)","Firewall Permit
",0,FALSE,jcifuentes,"Nov 1, 2022, 7:51:30 AM",FALSE,"False-Positive, Tuned",,GRC_FT_FW_IFX,domain 11,1,BY_TARGET,0,11:-1168877260,186.84.89.52,Destination IP,Firewall Permit ,Firewall Permit ,2,2,0,0,0,0,1,1,1,1,1,0,0,1 events and 0 flows in 1 categories,Sun Oct 16 14:56:17 COT 2022,Sun Oct 16 14:56:17 COT 2022,10.10.51.212,10.10.51.212,186.84.89.52,186.84.89.52 ,1,1,0,650146,"Oct 16, 2022, 2:56:17 PM","Oct 16, 2022, 2:56:17 PM",18d 17h 48m 14s,0s,FALSE,,2,"""This offense was closed with reason: False-Positive, Tuned.  Notes: Se cierran ofensas posterior a la realización del informe jcifuentes Nov 1, 2022, 7:51:30 AM""",other,166595000000000000    ,166595000000000000    ,other,GR_CHIA.FW_IFX,10.10.51.212,1,0,1,GR CHIA SAS
202,263661,Host Port Scan Detected by Remote Host,"Firewall Deny
",2,FALSE,jcifuentes,"Nov 1, 2022, 7:51:30 AM",FALSE,"False-Positive, Tuned",,,domain 11,0,BY_ATTACKER,0,11:-1045823666,193.169.255.78,Source IP,Firewall Deny ,Firewall Deny ,2,2,4,4,0,0,1,3,1,43,43,0,0,43 events and 0 flows in 1 categories,Sun Oct 16 15:00:07 COT 2022,Sun Oct 16 15:00:43 COT 2022,193.169.255.78,193.169.255.78,190.60.209.19,190.60.209.19 Remote (2) ,1|2077338,2,0,1253326,"Oct 16, 2022, 3:00:07 PM","Oct 16, 2022, 3:00:43 PM",18d 17h 43m 48s,36s,FALSE,,2,"""This offense was closed with reason: False-Positive, Tuned.  Notes: Se cierran ofensas posterior a la realización del informe jcifuentes Nov 1, 2022, 7:51:30 AM""",GR_CHIA.Publicas_Distribuidas,166595000000000000    ,166595000000000000    ,Multiple (2),other,193.169.255.78,2,1,2,GR CHIA SAS
203,263731,"GR Chia: X-Force Risk IP, Spam(Destination IP)","Firewall Permit
 preceded by Traffic timeout
",1,FALSE,jcifuentes,"Nov 1, 2022, 7:51:30 AM",FALSE,"False-Positive, Tuned",,GRC_FT_FW_MERCANET,domain 11,1,BY_TARGET,0,11:-1101761085,190.84.117.195,Destination IP,Firewall Permit  preceded by Traffic timeout ,Firewall Permit  preceded by Traffic timeout ,2,2,3,3,0,0,2,1,2,14,14,0,0,14 events and 0 flows in 2 categories,Sun Oct 16 19:22:45 COT 2022,Mon Oct 17 19:38:01 COT 2022,10.10.51.212,Multiple (2) ,190.84.117.195,190.84.117.195 ,1,1,0,650146,"Oct 16, 2022, 7:22:45 PM","Oct 17, 2022, 7:38:01 PM",17d 13h 6m 30s,1d 15m 15s,FALSE,,2,"""This offense was closed with reason: False-Positive, Tuned.  Notes: Se cierran ofensas posterior a la realización del informe jcifuentes Nov 1, 2022, 7:51:30 AM""",other,166597000000000000    ,166605000000000000    ,other,GR_CHIA.FW_IFX,10.10.51.212,1,0,1,GR CHIA SAS
204,263863,Host Port Scan Detected by Remote Host,"Firewall Deny
",2,FALSE,jcifuentes,"Nov 1, 2022, 7:51:30 AM",FALSE,"False-Positive, Tuned",,,domain 11,0,BY_ATTACKER,0,11:-1290881394,179.14.182.142,Source IP,Firewall Deny ,Firewall Deny ,2,2,4,4,0,0,1,2,1,1061,"1,061",0,0,"1,061 events and 0 flows in 1 categories",Mon Oct 17 07:39:11 COT 2022,Mon Oct 17 13:49:46 COT 2022,179.14.182.142,179.14.182.142,200.14.43.240,200.14.43.240 190.60.74.243 ,1|2079932|2079475|2079504,2,0,1255624,"Oct 17, 2022, 7:39:11 AM","Oct 17, 2022, 1:49:46 PM",17d 18h 54m 45s,6h 10m 35s,FALSE,,2,"""This offense was closed with reason: False-Positive, Tuned.  Notes: Se cierran ofensas posterior a la realización del informe jcifuentes Nov 1, 2022, 7:51:30 AM""",GR_CHIA.Publicas_Mercanet,166601000000000000    ,166603000000000000    ,Multiple (2),other,179.14.182.142,1,1,2,GR CHIA SAS
